Driver_ID,dr_city,dr_state,dr_contract,dr_commission,dr_paytype,dr_wkbase,dr_onduty,dr_status
53989,"BRAMPTON,ON,L6S0A6            ",ON ,1,0,DAILY     ,NULL,0,236
54005,HOUSTON                       ,TX ,1,100,COMMISSION,0,0,236
54006,HAMILTON                      ,ON ,1,0,DAILY     ,0,0,236
54020,CRANSTON                      ,RI ,1,100,COMMISSION,0,1,107
54026,BEAUMONT                      ,CA ,1,100,COMMISSION,NULL,1,107
54027,BALDWIN PARK                  ,CA ,1,100,COMMISSION,NULL,1,107
54028,LAWNDALE                      ,CA ,1,100,COMMISSION,0,1,107
54033,ENCINO                        ,CA ,1,100,COMMISSION,NULL,1,107
54058,SOUTH GATE                    ,CA ,1,100,COMMISSION,0,1,107
54068,VISTA                         ,CA ,1,100,COMMISSION,NULL,1,107
54071,VISTA                         ,CA ,1,100,COMMISSION,NULL,1,107
54075,BALDWIN PARK                  ,CA ,1,100,COMMISSION,NULL,1,107
54079,BALDWIN PARK                  ,CA ,1,100,COMMISSION,NULL,1,107
54081,SAUGUS                        ,CA ,1,100,COMMISSION,NULL,0,236
54086,SAN YSIDRO                    ,CA ,1,100,COMMISSION,NULL,1,107
54087,LONGWOOD                      ,FL ,1,100,COMMISSION,0,0,236
54108,ANAHEIM                       ,CA ,1,100,COMMISSION,0,1,107
54116,PERRIS                        ,CA ,1,0,WEEKLY    ,NULL,1,107
54157,CENTEREACH                    ,NY ,1,100,COMMISSION,0,1,107
54180,GAINESVILLE                   ,VA ,1,100,COMMISSION,0,1,107
54184,UNION CITY                    ,CA ,1,100,COMMISSION,NULL,1,107
54187,UNION CITY                    ,CA ,1,100,COMMISSION,NULL,1,107
54202,WESTLAND                      ,MI ,1,100,COMMISSION,NULL,1,107
54206,LYNDHURST                     ,NJ ,1,100,COMMISSION,NULL,1,107
54220,PARAMOUNT                     ,CA ,1,100,COMMISSION,NULL,0,236
54226,JACKSONVILLE                  ,FL ,1,100,COMMISSION,0,1,107
54227,JACKSONVILLE                  ,FL ,1,100,COMMISSION,NULL,0,236
54234,PROVIDENCE                    ,RI ,1,100,COMMISSION,0,1,107
54235,PROVIDENCE                    ,RI ,1,100,COMMISSION,0,1,107
54242,FRESNO                        ,CA ,1,100,COMMISSION,0,1,107
54243,FRESNO                        ,CA ,1,100,COMMISSION,0,1,107
54252,FRESNO                        ,CA ,1,100,COMMISSION,0,0,236
54255,FRESNO                        ,CA ,1,100,COMMISSION,0,1,107
54280,BALDWIN PARK                  ,CA ,1,100,COMMISSION,NULL,1,107
54281,BALDWIN PARK                  ,CA ,1,100,COMMISSION,NULL,1,107
54300,OCOEE                         ,FL ,1,100,COMMISSION,0,1,107
54306,OCOEE                         ,FL ,1,100,COMMISSION,0,1,107
54339,WEEHAWKIN                     ,NJ ,1,100,COMMISSION,NULL,0,236
54342,NEW YORK                      ,NY ,1,100,COMMISSION,NULL,1,107
54357,ODESSA                        ,TX ,1,0,WEEKLY    ,0,1,107
54382,CHATTANOOGA                   ,TN ,1,100,COMMISSION,0,1,107
54384,DAYTON                        ,TX ,1,100,COMMISSION,0,0,236
54385,GREENSBURG                    ,PA ,1,0,          ,NULL,1,107
54386,GREENSBURG                    ,PA ,1,0,          ,NULL,1,107
54394,MARIETTA                      ,GA ,1,100,COMMISSION,0,0,236
54403,GREENSBURG                    ,PA ,1,0,          ,NULL,1,107
54404,GREENSBURG                    ,PA ,1,0,          ,NULL,1,107
54409,BALDWIN PARK                  ,CA ,1,100,COMMISSION,NULL,1,107
54415,SAUGUS                        ,CA ,1,100,COMMISSION,NULL,0,236
54422,PARAMOUNT                     ,CA ,1,100,COMMISSION,NULL,0,236
54461,LONG BEACH                    ,CA ,1,100,COMMISSION,0,1,107
54493,DORCHESTER                    ,MA ,1,100,COMMISSION,NULL,1,107
54526,"THORNHILL,ON,L4J6E8           ",ON ,1,0,DAILY     ,0,1,107
54527,THORNHILL                     ,ON ,1,0,DAILY     ,0,1,107
54528,ORLEANS                       ,ON ,1,0,DAILY     ,NULL,1,107
54533,PENSACOLA                     ,FL ,1,100,COMMISSION,0,1,107
54534,PENSACOLA                     ,FL ,1,100,COMMISSION,0,1,107
54548,BERGEN                        ,NJ ,1,100,COMMISSION,NULL,1,107
54580,ARLINGTON                     ,TX ,1,100,COMMISSION,NULL,1,107
54582,ARLINGTON                     ,TX ,1,100,COMMISSION,0,1,107
54614,DAYTON                        ,TX ,1,100,COMMISSION,0,1,107
54636,                              ,   ,1,100,COMMISSION,NULL,1,107
54644,NEW HAVEN                     ,CT ,1,100,COMMISSION,0,1,107
54668,TACOMA                        ,WA ,1,100,COMMISSION,NULL,1,107
54679,WYOMING                       ,MI ,1,100,COMMISSION,0,0,236
54684,NORTH AUBURN                  ,WA ,1,100,COMMISSION,0,1,107
54686,NORTH AUBURN                  ,WA ,1,100,COMMISSION,NULL,1,107
54732,BAYONNE                       ,NJ ,1,100,COMMISSION,0,1,107
54765,CHULA VISTA                   ,CA ,1,100,COMMISSION,0,0,236
54770,HAYWARD                       ,CA ,1,100,COMMISSION,NULL,0,236
54771,UNION CITY                    ,NJ ,1,100,COMMISSION,0,1,107
54772,UNION CITY                    ,NJ ,1,100,COMMISSION,0,1,107
54780,LEOMINSTER                    ,MA ,1,100,COMMISSION,0,1,107
54842,DOVER                         ,DE ,1,100,COMMISSION,0,1,107
54850,HOUSTON                       ,TX ,1,100,COMMISSION,NULL,0,236
54858,FAIRBURN                      ,GA ,1,100,COMMISSION,0,1,107
54878,WORCESTER                     ,MA ,1,100,COMMISSION,0,1,107
54896,NORTH AUBURN                  ,WA ,1,100,COMMISSION,NULL,1,107
54898,"SASKATOON,SK,S7H0Z4           ",SK ,1,0,DAILY     ,0,1,107
54927,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
54934,HOLBROOK                      ,NY ,1,100,COMMISSION,0,1,107
54940,ASHEVILLE                     ,NC ,1,100,COMMISSION,NULL,0,236
54942,ASHEVILLE                     ,NC ,1,100,COMMISSION,NULL,0,236
54945,ASHEVILLE                     ,NC ,1,100,COMMISSION,NULL,0,236
54946,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
54947,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
54959,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
54973,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
54995,MCDONOUGH                     ,GA ,1,100,COMMISSION,NULL,1,107
54998,NEW YORK                      ,NY ,1,100,COMMISSION,NULL,1,107
55007,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
55018,ONTARIO                       ,CA ,1,100,COMMISSION,0,1,107
55020,LOS ANGELES                   ,CA ,1,100,COMMISSION,NULL,1,107
55022,SOUTH GATE                    ,CA ,1,100,COMMISSION,0,1,107
55033,DAYTON                        ,TX ,1,100,COMMISSION,0,1,107
55035,SAN YSIDRO                    ,CA ,1,100,COMMISSION,NULL,1,107
55037,HUNTINGTON PARK               ,CA ,1,100,COMMISSION,0,0,236
55044,SANTA ANA                     ,CA ,1,100,COMMISSION,NULL,1,107
55051,LOS ANGELES                   ,CA ,1,100,COMMISSION,NULL,1,107
55054,SANTA ANA                     ,CA ,1,100,COMMISSION,NULL,1,107
55055,LOS ANGELES                   ,CA ,1,100,COMMISSION,0,1,107
55059,LOS ANGELES                   ,CA ,1,100,COMMISSION,NULL,1,107
55060,HOUSTON                       ,TX ,1,100,COMMISSION,0,1,107
55068,HOUSTON                       ,TX ,1,100,COMMISSION,NULL,1,107
55081,CANTON                        ,OH ,1,100,COMMISSION,0,0,236
55082,HUNTINGTON PARK               ,CA ,1,100,COMMISSION,0,0,236
55083,HUNTINGTON PARK               ,CA ,1,100,COMMISSION,NULL,0,236
55088,LA HABRA                      ,CA ,1,100,COMMISSION,0,0,236
55095,CORONA                        ,CA ,1,100,COMMISSION,NULL,0,236
55103,PAWTUCKET                     ,RI ,1,100,COMMISSION,0,1,107
55119,NEW BOSTON                    ,MI ,1,100,COMMISSION,NULL,1,107
55142,STONEY CREEK                  ,ON ,1,0,DAILY     ,0,1,107
55158,STONEY CREEK                  ,ON ,1,0,DAILY     ,0,1,107
55161,LATHROP                       ,CA ,1,100,COMMISSION,0,1,107
55166,HAMILTON                      ,ON ,1,0,DAILY     ,0,1,107
55167,ST PAUL                       ,MN ,1,100,COMMISSION,NULL,1,107
55178,STONEY CREEK                  ,ON ,1,0,DAILY     ,0,0,236
55182,FRESNO                        ,CA ,1,100,COMMISSION,0,0,236
55183,BRAMPTON                      ,ON ,1,0,DAILY     ,NULL,0,236
55184,S.RICHMOND HILL               ,NY ,1,100,COMMISSION,0,1,107
55188,PROVIDENCE                    ,RI ,1,100,COMMISSION,0,1,107
55189,PROVIDENCE                    ,RI ,1,100,COMMISSION,0,1,107
55192,GALESBURG                     ,MI ,1,100,COMMISSION,0,1,107
55194,GALESBURG                     ,MI ,1,0,WEEKLY    ,0,1,107
55206,LOS ANGELES                   ,CA ,1,100,COMMISSION,0,0,236
55211,SAN FERNANDO                  ,CA ,1,100,COMMISSION,NULL,1,107
55220,PORT ST LUCIE                 ,FL ,1,100,COMMISSION,0,0,236
55232,AVON                          ,OH ,1,0,WEEKLY    ,NULL,0,236
55257,JOLIET                        ,IL ,1,100,COMMISSION,0,1,107
55280,BOZEMAN                       ,MT ,1,100,WEEKLY    ,0,1,107
55284,NEW BALTIMORE                 ,MI ,1,100,COMMISSION,0,0,236
55285,                              ,   ,1,100,COMMISSION,0,0,236
55300,AMITYVILLE                    ,NY ,1,100,COMMISSION,NULL,1,107
55307,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
55308,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
55320,PLAINVILLE                    ,CT ,1,100,COMMISSION,NULL,1,107
55350,HAMMOND                       ,IN ,1,100,COMMISSION,0,0,236
55361,CHITTENANGO                   ,NY ,1,100,COMMISSION,0,1,107
55381,GRAND PRAIRIE                 ,TX ,1,100,COMMISSION,0,1,107
55405,NEW YORK                      ,NY ,1,100,COMMISSION,NULL,1,107
55411,JOLIET                        ,IL ,1,100,COMMISSION,NULL,0,236
55412,AURORA                        ,IL ,1,100,COMMISSION,0,1,107
55413,SHELBY TWP                    ,MI ,1,100,COMMISSION,0,1,107
55418,PITTSBORO                     ,NC ,1,100,COMMISSION,0,1,107
55428,MIAMI                         ,FL ,1,100,COMMISSION,0,0,236
55431,PITTSBORO                     ,NC ,1,100,COMMISSION,0,0,236
55440,MESQUITE                      ,TX ,1,100,COMMISSION,0,1,107
55441,MESQUITE                      ,TX ,1,100,COMMISSION,0,1,107
55443,                              ,   ,1,100,COMMISSION,NULL,1,107
55454,COVINGTON                     ,GA ,1,100,COMMISSION,NULL,0,236
55484,CLINTON TWP                   ,MI ,1,100,COMMISSION,NULL,1,107
55550,BRAMPTON                      ,ON ,1,0,DAILY     ,0,0,236
55551,TAMPA                         ,FL ,1,100,COMMISSION,0,0,236
55552,ORLEANS                       ,ON ,1,0,DAILY     ,NULL,1,107
55559,BALDWIN PARK                  ,CA ,1,100,COMMISSION,NULL,1,107
55583,CUMBERLAND                    ,RI ,1,100,COMMISSION,NULL,1,107
55589,CUMBERLAND                    ,RI ,1,100,COMMISSION,NULL,1,107
55596,HOLYOKE                       ,MA ,1,100,COMMISSION,NULL,1,107
55609,RIALTO                        ,CA ,1,100,COMMISSION,NULL,0,236
55622,PARKER                        ,CO ,1,100,COMMISSION,0,1,107
55665,RIVERSIDE                     ,CA ,1,100,COMMISSION,NULL,0,236
55691,DENVER                        ,CO ,1,100,COMMISSION,0,1,107
55692,SHELBY TWP                    ,MI ,1,100,COMMISSION,NULL,0,236
55693,SHELBY TWP                    ,MI ,1,100,COMMISSION,NULL,1,107
55701,SHELBY TWP                    ,MI ,1,100,COMMISSION,NULL,0,236
55708,HAMILTON                      ,ON ,1,0,DAILY     ,0,0,236
55744,SAULT STE MARIE               ,ON ,1,0,DAILY     ,NULL,1,107
55745,RANCHO CUCAMONGA              ,CA ,1,100,COMMISSION,0,1,107
55755,LAUREL                        ,MD ,1,100,COMMISSION,0,1,107
55780,DESOTO                        ,TX ,1,100,COMMISSION,0,1,107
55816,HACIENDA HEIGHTS              ,CA ,1,100,COMMISSION,NULL,1,107
55834,CRANSTON                      ,RI ,1,100,COMMISSION,NULL,1,107
55838,FT MYERS                      ,FL ,1,100,COMMISSION,0,0,236
55852,SIMI VALLEY                   ,CA ,1,100,COMMISSION,NULL,1,107
55854,CINCINNATI                    ,OH ,1,100,COMMISSION,NULL,0,236
55876,CHARLOTTE                     ,NC ,1,100,COMMISSION,NULL,0,236
55880,JACKSONVILLE                  ,FL ,1,100,COMMISSION,0,0,236
55908,SOUTH GATE                    ,CA ,1,100,COMMISSION,0,1,107
55915,SAINT PAUL                    ,MN ,1,100,COMMISSION,0,1,107
55935,CLIFTON                       ,CO ,1,100,COMMISSION,0,1,107
55936,CLIFTON                       ,CO ,1,100,COMMISSION,0,1,107
55948,JANESVILLE                    ,WI ,1,100,COMMISSION,0,0,236
55949,JANESVILLE                    ,WI ,1,100,COMMISSION,0,0,236
55955,ROOSEVELT                     ,NY ,1,100,COMMISSION,0,0,236
55957,ESCONDIDO                     ,CA ,1,100,COMMISSION,NULL,1,107
55989,CRANSTON                      ,RI ,1,100,COMMISSION,NULL,0,236
55993,SALEM                         ,OR ,1,100,COMMISSION,NULL,1,107
55997,SALEM                         ,OR ,1,100,COMMISSION,NULL,1,107
56004,KINGSTON                      ,ON ,1,0,DAILY     ,NULL,1,107
56037,JANESVILLE                    ,WI ,1,0,WEEKLY    ,0,0,236
56042,MIAMI GARDENS                 ,FL ,1,100,COMMISSION,0,1,107
56045,MIAMI GARDENS                 ,FL ,1,100,COMMISSION,NULL,1,107
56096,FRANKLIN                      ,MA ,1,100,COMMISSION,0,0,236
56098,JACKSONVILLE                  ,FL ,1,100,COMMISSION,0,0,236
56108,HOUSTON                       ,TX ,1,100,COMMISSION,0,1,107
56115,PENSACOLA                     ,FL ,1,100,COMMISSION,0,1,107
56122,HOLBROOK                      ,NY ,1,100,COMMISSION,0,1,107
56124,SNELLVILLE                    ,GA ,1,100,COMMISSION,NULL,0,236
56142,ROOSEVELT                     ,NY ,1,100,COMMISSION,0,0,236
56143,PROVIDENCE                    ,RI ,1,100,COMMISSION,0,1,107
56147,NORTH AUBURN                  ,WA ,1,100,COMMISSION,NULL,1,107
56153,CONYERS                       ,GA ,1,100,COMMISSION,NULL,1,107
56157,FAIRFIELD                     ,OH ,1,100,COMMISSION,NULL,1,107
56158,FAIRFIELD                     ,OH ,1,100,COMMISSION,NULL,1,107
56160,HOUSTON                       ,TX ,1,100,COMMISSION,NULL,0,236
56174,ELLENWOOD                     ,GA ,1,100,COMMISSION,0,1,107
56181,NEW BRUNSWICK                 ,NJ ,1,100,COMMISSION,0,1,107
56187,STONE MOUNTAIN                ,GA ,1,100,COMMISSION,NULL,0,236
56189,NORCROSS                      ,GA ,1,100,COMMISSION,NULL,1,107
56197,JACKSON                       ,NJ ,1,100,COMMISSION,0,1,107
56210,LOS ANGELES                   ,CA ,1,100,COMMISSION,NULL,0,236
56221,CONYERS                       ,GA ,1,100,COMMISSION,NULL,1,107
56222,CONYERS                       ,GA ,1,100,COMMISSION,NULL,1,107
56228,HIALEAH                       ,FL ,1,100,COMMISSION,0,1,107
56234,GAINESVILLE                   ,GA ,1,100,COMMISSION,NULL,1,107
56241,HOUSTON                       ,TX ,1,100,COMMISSION,0,0,236
56246,                              ,   ,1,100,COMMISSION,0,0,236
56252,STONE MOUNTAIN                ,GA ,1,100,COMMISSION,NULL,0,236
56292,HAMPTON                       ,GA ,1,100,COMMISSION,NULL,1,107
56305,SAN ANTONIO                   ,TX ,1,100,COMMISSION,NULL,0,236
56306,SAN ANTONIO                   ,TX ,1,100,COMMISSION,NULL,0,236
56317,LAWRENCE                      ,MA ,1,100,COMMISSION,NULL,0,236
56319,DECATUR                       ,GA ,1,100,COMMISSION,NULL,1,107
56336,PHILADELPHIA                  ,PA ,1,100,COMMISSION,NULL,0,236
56358,HOUSTON                       ,TX ,1,100,COMMISSION,NULL,1,107
56370,LOGANVILLE                    ,GA ,1,100,COMMISSION,NULL,1,107
56382,LOS ANGELES                   ,CA ,1,100,COMMISSION,NULL,1,107
56404,KENNESAW                      ,GA ,1,100,COMMISSION,NULL,0,236
56414,PICKERINGTON                  ,OH ,1,100,COMMISSION,0,1,107
56415,PICKERINGTON                  ,OH ,1,100,COMMISSION,NULL,1,107
56449,QUINCY                        ,MA ,1,100,COMMISSION,NULL,0,236
56453,BOSTON                        ,MA ,1,100,COMMISSION,0,1,107
56454,MIAMI                         ,FL ,1,100,COMMISSION,0,1,107
56478,CUMBERLAND                    ,RI ,1,100,COMMISSION,0,1,107
56485,WOODLAND                      ,CA ,1,100,COMMISSION,0,0,236
56487,SNELLVILLE                    ,GA ,1,100,COMMISSION,NULL,0,236
56488,SNELLVILLE                    ,GA ,1,100,COMMISSION,NULL,0,236
56491,QUINCY                        ,MA ,1,100,COMMISSION,0,0,236
56514,CHITTENANGO                   ,NY ,1,100,COMMISSION,0,1,107
56528,PALMDALE                      ,CA ,1,100,COMMISSION,NULL,0,236
56549,COMPTON                       ,CA ,1,100,COMMISSION,NULL,1,107
56568,ELIZABETH                     ,NJ ,1,100,COMMISSION,0,1,107
56572,LILBURN                       ,GA ,1,100,COMMISSION,NULL,0,236
56573,LILBURN                       ,GA ,1,100,COMMISSION,NULL,0,236
56577,HOUSTON                       ,TX ,1,100,COMMISSION,0,1,107
56582,KENT                          ,WA ,1,100,COMMISSION,NULL,1,107
56586,ATLANTA                       ,GA ,1,100,COMMISSION,0,0,236
56587,ATLANTA                       ,GA ,1,100,COMMISSION,0,1,107
56590,ATLANTA                       ,GA ,1,100,COMMISSION,0,1,107
56615,CUMBERLAND                    ,RI ,1,100,COMMISSION,0,1,107
56652,GALESBURG                     ,MI ,1,0,WEEKLY    ,0,1,107
56663,FORKED RIVER                  ,NJ ,1,100,COMMISSION,0,1,107
56664,MIAMI                         ,FL ,1,100,COMMISSION,0,0,236
56681,PICKERINGTON                  ,OH ,1,100,COMMISSION,NULL,1,107
56682,BROCKTON                      ,MA ,1,100,COMMISSION,NULL,1,107
56689,FAIRBURN                      ,GA ,1,100,COMMISSION,0,1,107
56698,SEFFNER                       ,FL ,1,100,COMMISSION,NULL,0,236
56719,ENGLEWOOD                     ,NJ ,1,100,COMMISSION,0,1,107
56720,JERSEY CITY                   ,NJ ,1,100,COMMISSION,NULL,0,236
56742,CHULA VISTA                   ,CA ,1,100,COMMISSION,0,1,107
56766,FONTANA                       ,CA ,1,100,COMMISSION,NULL,0,236
56767,FONTANA                       ,CA ,1,100,COMMISSION,NULL,0,236
56778,DAYTON                        ,TX ,1,100,COMMISSION,0,1,107
56791,TORONTO                       ,ON ,1,0,DAILY     ,0,0,236
56793,CHINO                         ,CA ,1,100,COMMISSION,NULL,1,107
56814,LAWRENCEVILLE                 ,GA ,1,100,COMMISSION,0,0,236
56815,WALNUTPORT                    ,PA ,1,100,COMMISSION,0,1,107
56821,PICKERINGTON                  ,OH ,1,100,COMMISSION,NULL,0,236
56822,HOUSTON                       ,TX ,1,100,COMMISSION,NULL,0,236
56824,STATEN ISLAND                 ,NY ,1,100,COMMISSION,0,1,107
56829,IRVINGTON                     ,NJ ,1,100,COMMISSION,0,0,236
56830,NEWARK                        ,NJ ,1,100,COMMISSION,0,1,107
56832,IRVINGTON                     ,NJ ,1,100,COMMISSION,0,0,236
56834,MARIETTA                      ,GA ,1,100,COMMISSION,0,0,236
56836,ACWORTH                       ,GA ,1,100,COMMISSION,0,1,107
56846,IRVINGTON                     ,NJ ,1,100,COMMISSION,0,1,107
56849,GAITHERSBURG                  ,MD ,1,100,COMMISSION,NULL,1,107
56850,SILVERSPRING                  ,MD ,1,100,COMMISSION,NULL,1,107
56851,BELTSVILLE                    ,MD ,1,100,COMMISSION,0,1,107
56852,LAUREL                        ,MD ,1,100,COMMISSION,NULL,1,107
56854,RAHWAY                        ,NJ ,1,100,COMMISSION,0,1,107
56864,CANTON                        ,OH ,1,100,COMMISSION,0,1,107
56878,NORTH AUBURN                  ,WA ,1,100,COMMISSION,NULL,1,107
56879,WYOMING                       ,MI ,1,100,COMMISSION,0,0,236
56884,ATLANTA                       ,GA ,1,100,COMMISSION,NULL,0,236
56893,MORENO VALLEY                 ,CA ,1,100,COMMISSION,NULL,1,107
56919,NEW YORK                      ,NY ,1,100,COMMISSION,0,1,107
56920,BROOKLYN                      ,NY ,1,100,COMMISSION,NULL,1,107
56926,THORNTON                      ,CO ,1,100,COMMISSION,0,1,107
56931,PERTH AMBOY                   ,NJ ,1,100,COMMISSION,0,1,107
56937,KEARNY                        ,NJ ,1,100,COMMISSION,0,1,107
56957,LOS ANGELES                   ,CA ,1,100,COMMISSION,NULL,1,107
56958,FREMONT                       ,CA ,1,100,COMMISSION,NULL,1,107
56960,LOS ANGELES                   ,CA ,1,100,COMMISSION,NULL,0,236
56964,FREMONT                       ,CA ,1,100,COMMISSION,0,1,107
56973,                              ,   ,1,100,COMMISSION,NULL,1,107
56981,                              ,   ,1,100,COMMISSION,0,1,107
57008,DUMMY                         ,NJ ,1,0,          ,NULL,1,107
57009,DUMMY                         ,NJ ,1,0,          ,NULL,1,107
57012,DUMMY                         ,NJ ,1,0,          ,NULL,1,107
57013,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57015,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57016,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57021,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57023,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57027,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57029,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57037,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57040,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57045,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57068,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57072,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57073,DUMMY                         ,NJ ,1,0,          ,NULL,0,236
57118,MIAMI                         ,FL ,1,100,COMMISSION,0,0,236
57131,LAWRENCEVILLE                 ,GA ,1,100,COMMISSION,NULL,0,236
57140,MIAMI                         ,FL ,1,100,COMMISSION,NULL,1,107
57149,MIAMI                         ,FL ,1,100,COMMISSION,0,1,107
57161,GRAND PRAIRIE                 ,TX ,1,100,COMMISSION,NULL,0,236
57175,WOODLAND PARK                 ,NJ ,1,100,COMMISSION,NULL,0,236
57179,ELIZABETH                     ,NJ ,1,100,COMMISSION,0,0,236
57185,CANYON COUNTRY                ,CA ,1,100,COMMISSION,0,0,236
